Country,Estimated MDR-TB cases,0-4 year olds needing evaluation,5-14 year olds needing evaluation,0-4 year olds needing treatment,5-14 year olds needing treatment,0-4 year olds needing preventive therapy,5-14 year olds neeiding preventive therapy,,,,
Afghanistan,"1,300",866,"1,734",87,146,779,844,,,,
Albania,2,1,3,0,0,1,1,,,,
Algeria,180,120,240,12,20,108,117,,,,
American Samoa,0,0,0,0,0,0,0,,,,
Andorra,0,0,0,0,0,0,0,,,,
Angola,"1,700","1,132","2,268",113,190,"1,019","1,103",,,,
Anguilla,0,0,0,0,0,0,0,,,,
Antigua and Barbuda,0,0,0,0,0,0,0,,,,
Argentina,340,226,454,23,38,204,221,,,,
Armenia,250,167,334,17,28,150,162,,,,
Aruba,1,1,1,0,0,1,1,,,,
Australia,17,11,23,1,2,10,11,,,,
Austria,18,12,24,1,2,11,12,,,,
Azerbaijan,"2,800","1,865","3,735",186,314,"1,678","1,817",,,,
Bahamas,1,1,1,0,0,1,1,,,,
Bahrain,3,2,4,0,0,2,2,,,,
Bangladesh,"4,200","2,797","5,603",280,471,"2,517","2,725",,,,
Barbados,0,0,0,0,0,0,0,,,,
Belarus,"2,200","1,465","2,935",147,247,"1,319","1,427",,,,
Belgium,15,10,20,1,2,9,10,,,,
Belize,3,2,4,0,0,2,2,,,,
Benin,54,36,72,4,6,32,35,,,,
Bermuda,0,0,0,0,0,0,0,,,,
Bhutan,25,17,33,2,3,15,16,,,,
Bolivia (Plurinational State of),150,100,200,10,17,90,97,,,,
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,,,,
Bosnia and Herzegovina,13,9,17,1,1,8,8,,,,
Botswana,140,93,187,9,16,84,91,,,,
Brazil,"1,700","1,132","2,268",113,190,"1,019","1,103",,,,
British Virgin Islands,0,0,0,0,0,0,0,,,,
Brunei Darussalam,0,0,0,0,0,0,0,,,,
Bulgaria,100,67,133,7,11,60,65,,,,
Burkina Faso,150,100,200,10,17,90,97,,,,
Burundi,150,100,200,10,17,90,97,,,,
Cabo Verde,10,7,13,1,1,6,6,,,,
Cambodia,380,253,507,25,43,228,247,,,,
Cameroon,670,446,894,45,75,402,435,,,,
Canada,7,5,9,0,1,4,5,,,,
Cayman Islands,0,0,0,0,0,0,0,,,,
Central African Republic,130,87,173,9,15,78,84,,,,
Chad,320,213,427,21,36,192,208,,,,
Chile,19,13,25,1,2,11,12,,,,
China,"59,000","39,294","78,706","3,929","6,611","35,365","38,282",,,,
"China, Hong Kong SAR",48,32,64,3,5,29,31,,,,
"China, Macao SAR",8,5,11,1,1,5,5,,,,
Colombia,310,206,414,21,35,186,201,,,,
Comoros,3,2,4,0,0,2,2,,,,
